,index,C1,C2,C3,C4,C5,C6,C7,C8,C9,label
30,30.0,1.5122,12.65,0.0,1.79,73.21,1.46,7.36,0.0,0.0,0.0
31,31.0,1.5181,13.38,3.43,1.38,73.08,0.64,13.24,1.59,0.0,0.0
32,32.0,1.5175,13.44,2.09,1.26,72.89,0.04,8.57,0.0,0.0,0.0
33,33.0,1.5161,13.24,3.82,1.36,72.78,0.64,8.21,0.81,0.0,0.0
34,34.0,1.5177,13.08,3.9,1.15,72.98,0.0,9.7,0.0,0.0,0.0
35,35.0,1.5167,13.89,3.4,1.33,72.99,0.58,8.32,0.0,0.0,0.0
36,36.0,1.5190000000000001,13.58,0.0,1.31,72.32,0.37,13.44,0.0,0.0,0.0
37,37.0,1.5141,12.93,3.34,1.9,71.75,0.61,8.03,0.0,0.0,0.0
38,38.0,1.5168,14.85,2.68,1.11,72.87,0.0,8.39,0.0,0.28,0.0
39,39.0,1.5189,13.0,2.71,1.76,72.83,0.6,8.21,0.0,0.17,0.0
40,40.0,1.5169,13.69,2.39,1.66,73.24,0.61,11.62,1.55,0.0,0.0
41,41.0,1.5166,12.65,3.36,1.52,71.96,0.0,9.42,0.0,0.16,0.0
42,42.0,1.5165,14.43,2.39,1.54,73.07,1.1,10.79,0.0,0.0,0.0
43,43.0,1.5178,14.04,0.0,1.33,72.02,0.0,8.93,1.19,0.0,0.0
44,44.0,1.5175,12.96,3.82,2.51,73.39,0.0,9.82,0.0,0.0,0.0
45,45.0,1.5165,13.33,3.75,1.34,72.34,0.0,10.56,0.69,0.0,0.0
46,46.0,1.5193,13.02,3.36,1.15,72.5,0.08,11.32,0.14,0.09,0.0
47,47.0,1.5178,14.01,3.9,1.54,73.21,0.11,8.07,0.0,0.07,0.0
48,48.0,1.5219999999999998,13.89,3.43,1.51,73.21,0.55,9.74,2.88,0.0,0.0
49,49.0,1.518,13.42,3.74,1.99,73.39,0.0,8.83,0.0,0.19,0.0
50,50.0,1.5181,13.7,2.39,1.79,72.14,0.13,8.11,0.0,0.0,0.0
51,51.0,1.516,13.29,3.66,1.49,73.02,0.56,8.53,0.0,0.0,0.0
52,52.0,1.5176,13.36,3.54,1.41,72.26,0.0,9.57,1.38,0.0,0.0
53,53.0,1.5162,12.85,2.81,1.23,72.95,0.59,8.4,2.2,0.0,0.0
54,54.0,1.5179,11.56,2.85,1.56,72.28,0.0,8.71,0.0,0.0,0.0
55,55.0,1.5222,12.94,3.58,1.43,72.55,0.64,8.21,0.0,0.0,0.0
56,56.0,1.5190000000000001,13.43,3.45,1.12,72.57,0.6,8.7,0.0,0.0,0.0
57,57.0,1.5175,13.46,3.97,1.43,73.5,0.69,8.76,0.0,0.0,0.0
58,58.0,1.5175,13.5,3.45,2.1,73.17,0.65,9.77,0.0,0.0,0.0
59,59.0,1.5266,13.21,0.78,1.35,72.02,0.11,8.77,0.0,0.0,0.0
60,60.0,1.5176,13.81,0.0,1.31,72.38,0.06,9.04,0.0,0.0,0.0
61,61.0,1.5225,13.88,2.88,1.63,73.12,0.23,7.88,0.0,0.11,0.0
62,62.0,1.5157,13.44,0.0,1.56,73.08,0.6,9.26,1.57,0.0,0.0
63,63.0,1.5169,13.46,0.0,0.56,72.08,0.58,8.79,2.88,0.15,0.0
64,64.0,1.5174,14.39,3.61,1.21,73.08,0.47,8.24,0.64,0.0,0.0
65,65.0,1.5232,13.1,0.0,2.08,73.24,1.41,8.67,0.0,0.1,0.0
66,66.0,1.5175,14.43,3.83,1.43,73.01,0.13,8.09,0.0,0.0,0.0
67,67.0,1.5159,13.0,3.54,1.33,72.28,0.54,8.76,0.56,0.0,0.0
68,68.0,1.5217,14.01,3.55,2.68,73.1,0.09,8.95,0.0,0.12,0.0
69,69.0,1.5178,13.38,3.48,1.23,72.53,0.54,8.44,0.0,0.18,0.0
70,70.0,1.5215,13.69,3.87,1.24,72.86,0.0,8.05,0.0,0.0,0.0
71,71.0,1.5167,13.56,0.0,1.31,72.84,1.41,7.96,0.0,0.14,0.0
72,72.0,1.5132,13.23,0.0,0.47,73.3,0.58,14.96,0.0,0.19,0.0
73,73.0,1.5165,14.17,3.54,1.32,72.86,0.0,8.77,0.0,0.24,0.0
74,74.0,1.5174,12.85,0.0,2.42,72.49,0.54,8.7,0.0,0.17,0.0
75,75.0,1.5186,13.21,3.34,1.11,72.85,0.6,8.24,0.0,0.17,0.0
76,76.0,1.5163,13.27,3.43,1.23,72.44,0.56,8.05,0.0,0.0,0.0
77,77.0,1.5182,12.97,3.73,1.34,73.15,0.6,8.18,0.0,0.19,0.0
78,78.0,1.5181,13.64,3.54,1.57,73.24,0.0,9.42,0.09,0.0,0.0
79,79.0,1.5272,12.81,3.18,1.76,71.5,0.13,8.05,0.0,0.22,0.0
80,80.0,1.5166,13.87,3.53,1.48,72.75,0.0,9.57,0.0,0.06,0.0
81,81.0,1.5162,12.55,3.55,1.05,70.48,0.23,9.08,1.55,0.0,0.0
82,82.0,1.5225,12.85,0.0,1.35,71.77,0.12,8.56,0.4,0.0,0.0
83,83.0,1.5184,13.05,3.67,1.35,72.4,0.59,8.67,0.0,0.34,0.0
84,84.0,1.5165,12.94,3.5,1.76,72.02,0.0,8.05,0.0,0.0,0.0
85,85.0,1.5165,13.1,3.39,1.19,72.79,0.51,8.03,0.0,0.0,0.0
86,86.0,1.5175,14.04,0.0,0.67,72.36,0.17,8.76,0.0,0.14,0.0
87,87.0,1.5179,12.64,3.54,1.07,72.87,0.64,9.7,0.0,0.05,0.0
88,88.0,1.5204,13.64,3.7,1.43,72.61,0.0,10.02,0.0,0.0,0.0
89,89.0,1.5178,12.8,3.49,1.23,72.95,0.57,8.27,1.64,0.0,0.0
90,90.0,1.5176,13.25,3.4,1.47,72.75,0.67,8.43,0.0,0.0,0.0
91,91.0,1.5178,13.21,2.39,1.54,72.06,0.6,8.12,0.0,0.17,0.0
92,92.0,1.5225,12.99,3.55,1.31,72.02,0.58,9.57,0.0,0.0,0.0
93,93.0,1.5157,13.72,0.0,3.5,70.48,0.68,8.15,0.0,0.0,0.0
94,94.0,1.5172,13.38,3.4,0.47,72.88,0.55,8.52,0.0,0.24,0.0
95,95.0,1.5178,12.73,3.58,0.87,73.11,0.59,8.7,0.0,0.0,0.0
96,96.0,1.5222,13.79,3.76,1.15,73.02,0.03,8.38,0.0,0.2,0.0
97,97.0,1.5183,13.14,0.0,1.88,71.36,0.61,9.85,0.0,0.0,0.0
98,98.0,1.5159,14.23,3.44,2.0,71.15,0.0,7.94,0.0,0.0,0.0
99,99.0,1.5197,13.33,2.28,1.36,72.72,1.1,8.21,1.71,0.24,0.0
100,100.0,1.5183,13.31,3.58,1.43,69.89,0.04,7.89,0.0,0.0,0.0
101,101.0,1.5171,12.9,3.62,2.74,73.04,0.64,7.96,0.0,0.0,0.0
102,102.0,1.5159,13.81,1.35,1.38,71.36,0.61,7.59,0.0,0.0,0.0
103,103.0,1.5178,13.75,2.39,1.28,72.84,0.0,10.79,0.0,0.0,0.0
104,104.0,1.5159,12.86,2.41,1.86,71.99,0.68,7.9,1.55,0.0,0.0
105,105.0,1.5169,12.2,3.56,1.12,73.39,0.59,8.76,0.66,0.0,0.0
106,106.0,1.518,12.96,3.41,1.19,73.29,0.61,7.08,0.0,0.0,0.0
107,107.0,1.5183,13.2,0.0,1.33,69.89,0.0,8.32,0.0,0.07,0.0
108,108.0,1.5159,14.01,3.47,1.27,72.95,0.54,10.79,0.0,0.22,0.0
109,109.0,1.5182,13.33,3.18,1.58,71.15,0.59,8.6,0.0,0.0,0.0
110,110.0,1.5222,13.05,0.0,1.87,71.35,0.44,7.9,0.0,0.0,0.0
111,111.0,1.5130000000000001,13.78,3.62,1.06,72.66,0.65,9.76,0.0,0.14,0.0
112,112.0,1.5157,13.79,3.15,0.71,73.2,0.58,7.9,0.0,0.0,0.0
113,113.0,1.5179,13.02,3.56,1.16,72.72,0.54,8.96,0.0,0.0,0.0
114,114.0,1.5177,13.0,3.52,1.54,72.22,0.0,8.03,1.67,0.0,0.0
115,115.0,1.5151,13.48,0.0,1.12,73.5,0.56,8.93,0.0,0.17,0.0
116,116.0,1.5189,12.85,3.5,1.33,72.78,0.1,11.41,0.0,0.0,0.0
117,117.0,1.5178,12.86,3.41,2.79,72.96,0.76,8.03,0.4,0.0,0.0
118,118.0,1.5176,14.38,1.78,1.26,73.07,0.15,9.85,0.0,0.0,0.0
119,119.0,1.5141,12.57,3.61,1.19,72.97,0.0,8.12,0.0,0.0,0.0
120,120.0,1.5165,11.56,0.0,2.54,73.11,0.47,8.39,0.0,0.0,0.0
121,121.0,1.5215,13.41,3.82,1.35,72.74,0.81,8.35,0.0,0.0,0.0
122,122.0,1.5166,13.3,3.52,1.28,72.96,0.55,8.22,0.0,0.34,0.0
123,123.0,1.5175,14.21,3.48,1.64,73.39,1.46,8.39,0.0,0.0,0.0
124,124.0,1.5179,12.93,3.2,1.35,72.81,6.21,8.48,0.0,0.1,0.0
125,125.0,1.5157,12.82,3.59,1.25,72.32,0.11,8.53,0.0,0.0,0.0
126,126.0,1.516,14.8,1.61,1.3,72.75,0.55,8.03,0.0,0.0,0.0
127,127.0,1.5175,13.38,0.0,2.54,72.65,0.61,14.4,0.0,0.0,0.0
128,128.0,1.5181,12.84,3.54,1.29,70.43,0.67,8.99,0.0,0.0,0.0
129,129.0,1.5181,12.99,2.19,0.71,72.64,0.6,8.11,0.0,0.0,0.0
130,130.0,1.5190000000000001,14.32,0.0,1.43,72.81,0.68,9.82,0.0,0.0,0.0
131,131.0,1.5172,13.92,0.0,0.87,71.99,0.67,6.96,0.0,0.0,0.0
132,132.0,1.5185,13.31,2.88,1.87,71.79,0.49,9.26,0.54,0.0,0.0
133,133.0,1.5191,12.94,3.57,0.56,72.79,0.97,7.59,0.81,0.0,0.0
134,134.0,1.5193,13.09,3.66,1.47,73.2,0.47,9.0,0.0,0.0,0.0
135,135.0,1.5162,12.81,3.52,0.78,72.79,0.51,9.03,0.0,0.0,0.0
136,136.0,1.5179,12.79,0.0,1.36,72.65,0.69,8.44,0.0,0.0,0.0
137,137.0,1.5162,13.2,3.52,0.87,73.09,0.33,8.22,0.0,0.2,0.0
138,138.0,1.5223,12.79,3.66,0.87,72.38,0.6,8.33,0.24,0.0,0.0
139,139.0,1.5184,12.86,0.0,0.91,72.32,0.0,8.59,0.14,0.24,0.0
140,140.0,1.5172,12.93,3.56,1.15,70.7,0.11,9.69,0.09,0.0,0.0
141,141.0,1.518,14.43,0.0,0.83,72.19,0.58,7.96,0.0,0.0,0.0
142,142.0,1.5179,14.21,3.09,1.19,71.99,1.68,8.34,0.0,0.28,0.0
143,143.0,1.5165,12.2,3.49,2.02,72.64,0.0,8.34,0.0,0.0,0.0
144,144.0,1.5162,12.84,3.5,1.29,72.75,0.14,9.18,0.0,0.0,0.0
145,145.0,1.5184,14.8,0.0,0.66,73.0,0.58,8.39,0.0,0.09,0.0
146,146.0,1.5183,13.7,2.85,1.43,72.2,0.6,8.76,1.63,0.06,0.0
147,147.0,1.5191,13.01,3.63,1.43,72.45,0.58,8.42,0.0,0.0,0.0
148,148.0,1.5208,13.48,3.59,1.51,72.69,0.72,9.95,0.0,0.0,0.0
149,149.0,1.5161,12.45,3.34,2.12,73.2,0.45,9.03,0.0,0.0,0.0
150,150.0,1.5199,13.44,3.41,0.9,72.34,0.19,8.57,0.0,0.0,0.0
151,151.0,1.5187,12.85,3.89,2.12,72.33,0.57,7.89,0.0,0.0,0.0
152,152.0,1.5185,12.86,1.35,1.62,71.15,0.23,9.7,0.0,0.0,0.0
153,153.0,1.5176,12.81,0.0,1.18,72.74,0.0,8.4,0.0,0.0,0.0
154,154.0,1.5191,13.64,0.0,1.32,72.84,0.18,9.74,0.0,0.0,0.0
155,155.0,1.5171,12.96,3.37,1.79,70.16,0.0,8.21,0.0,0.0,0.0
156,156.0,1.5218,13.48,3.6,1.11,73.03,0.13,8.52,0.0,0.0,0.0
157,157.0,1.5171,14.86,3.48,1.69,73.14,0.58,9.69,0.0,0.0,0.0
158,158.0,1.5172,12.67,0.0,1.99,73.26,0.23,8.57,0.0,0.0,0.0
159,159.0,1.5159,12.69,2.76,1.44,72.08,0.66,7.59,0.0,0.0,0.0
160,160.0,1.5157,13.0,3.48,0.75,72.86,0.6,8.39,0.0,0.24,0.0
161,161.0,1.5232,12.78,3.47,1.28,73.28,0.6,8.39,0.0,0.0,0.0
162,162.0,1.5221,12.67,3.62,2.12,72.87,0.68,8.41,0.0,0.17,0.0
163,163.0,1.5167,12.64,3.57,2.68,73.04,0.5,9.76,0.0,0.0,0.0
164,164.0,1.5181,13.02,3.6,2.08,72.96,0.64,9.4,0.0,0.0,0.0
165,165.0,1.5178,14.85,3.57,1.25,71.95,0.66,7.88,0.0,0.1,0.0
166,166.0,1.5159,13.72,3.67,1.54,73.11,0.12,8.09,0.0,0.51,0.0
167,167.0,1.5159,13.36,1.78,1.27,73.28,0.1,7.9,0.0,0.0,0.0
168,168.0,1.5171,12.64,0.0,1.14,72.98,0.76,8.41,0.0,0.0,0.0
169,169.0,1.5218,14.25,3.54,1.19,73.28,0.61,8.12,0.0,0.07,0.0
170,170.0,1.5183,13.43,0.0,1.23,71.5,0.51,8.78,0.0,0.09,0.0
171,171.0,1.5221,13.19,3.51,1.57,73.08,0.69,8.42,0.0,0.16,0.0
172,172.0,1.5157,12.45,3.64,1.12,72.39,0.57,7.9,0.0,0.09,0.0
173,173.0,1.5189,12.71,3.26,2.74,71.96,0.0,9.06,0.0,0.0,0.0
174,174.0,1.5178,13.0,3.82,1.26,71.99,0.66,8.39,0.0,0.0,0.0
175,175.0,1.518,14.19,3.5,1.3,73.03,0.57,8.41,0.0,0.24,0.0
176,176.0,1.5178,14.25,3.36,2.25,72.96,0.51,8.65,0.0,0.0,0.0
177,177.0,1.516,14.85,3.48,1.32,74.45,0.68,14.96,0.0,0.14,0.0
178,178.0,1.5178,12.65,3.9,1.54,72.69,0.68,6.47,0.0,0.0,0.0
179,179.0,1.5167,13.64,3.98,1.33,73.88,0.61,8.34,0.0,0.0,0.0
180,180.0,1.5171,13.12,3.6,1.62,75.18,0.57,8.43,0.76,0.0,0.0
181,181.0,1.5215,12.55,3.48,3.02,73.07,0.03,11.32,2.2,0.0,0.0
182,182.0,1.5197,13.38,3.65,2.08,72.02,0.56,9.08,0.0,0.0,0.0
183,183.0,1.5206,13.33,3.59,1.48,72.64,0.64,9.85,0.0,0.0,0.0
184,184.0,1.5161,11.45,3.59,1.64,72.39,0.17,11.53,0.0,0.0,0.0
185,185.0,1.5166,14.2,1.83,1.67,73.3,0.58,8.7,0.0,0.0,0.0
186,186.0,1.5339,14.15,3.66,1.18,73.28,0.11,8.7,0.24,0.0,0.0
187,187.0,1.5159,12.81,3.66,1.56,73.55,0.03,8.22,0.0,0.0,0.0
188,188.0,1.5165,13.64,3.52,1.25,73.88,0.02,8.24,0.76,0.0,0.0
189,189.0,1.5132,12.56,3.48,1.21,73.06,0.11,8.1,0.66,0.0,0.0
190,190.0,1.5141,12.79,1.78,1.83,72.02,0.57,9.23,0.0,0.28,0.0
191,191.0,1.5204,12.16,3.6,0.51,72.08,0.58,8.65,0.0,0.0,0.0
192,192.0,1.5159,14.94,1.83,1.51,73.15,0.51,13.3,1.71,0.16,0.0
193,193.0,1.5221,13.2,0.0,2.66,71.36,0.0,9.57,0.0,0.1,0.0
194,194.0,1.5175,13.02,0.0,1.41,73.27,0.08,8.55,0.0,0.0,0.0
195,195.0,1.5132,13.0,3.53,2.1,71.81,1.46,16.19,0.53,0.22,0.0
196,196.0,1.5157,13.38,3.87,1.29,72.22,0.55,8.38,0.0,0.0,0.0
197,197.0,1.5219999999999998,12.71,3.09,1.33,72.87,0.13,8.6,0.0,0.0,0.0
198,198.0,1.5161,12.79,3.89,0.77,73.88,0.58,8.56,0.0,0.0,0.0
199,199.0,1.5168,13.49,2.81,0.77,72.08,0.61,6.96,0.0,0.0,0.0
200,200.0,1.5182,12.55,3.47,0.83,73.48,0.6,8.91,0.0,0.0,0.0
201,201.0,1.5175,12.57,3.25,1.54,73.24,0.67,10.79,0.53,0.0,0.0
202,202.0,1.5122,13.88,3.45,1.87,73.3,0.55,9.06,0.0,0.0,0.0
203,203.0,1.5178,14.8,3.54,1.22,72.83,0.62,7.83,0.0,0.0,0.0
204,204.0,1.5185,12.87,0.0,0.65,72.33,0.66,10.09,0.11,0.24,0.0
205,205.0,1.5151,14.01,3.5,1.33,73.04,0.69,10.09,0.0,0.0,0.0
206,206.0,1.5272,14.7,3.9,1.69,73.0,0.0,10.17,0.0,0.0,0.0
207,207.0,1.5199,13.81,2.84,1.23,72.02,0.15,8.76,0.11,0.07,0.0
208,208.0,1.5154,13.44,3.56,2.34,72.08,0.55,8.58,0.0,0.0,0.0
209,209.0,1.5166,12.85,3.4,1.83,71.36,0.0,8.58,0.0,0.0,0.0
210,210.0,1.5215,14.19,1.88,1.3,72.73,0.56,8.71,0.0,0.0,0.0
211,211.0,1.5162,14.32,3.75,1.9,73.46,0.61,9.18,0.0,0.0,0.0
212,212.0,1.5177,12.85,3.09,1.74,73.06,0.57,8.93,0.09,0.0,0.0
