,f0,f1,f2,f3,f4,f5,y
44,8.0,400.0,5140.0,12.0,71.0,1.0,1
45,6.0,258.0,2962.0,13.5,71.0,1.0,1
46,4.0,140.0,2408.0,19.0,71.0,1.0,1
47,6.0,250.0,3282.0,15.0,71.0,1.0,1
48,6.0,250.0,3139.0,14.5,71.0,1.0,1
49,4.0,122.0,2220.0,14.0,71.0,1.0,1
50,4.0,116.0,2123.0,14.0,71.0,2.0,2
51,4.0,79.0,2074.0,19.5,71.0,2.0,2
52,4.0,88.0,2065.0,14.5,71.0,2.0,2
53,4.0,71.0,1773.0,19.0,71.0,3.0,2
54,4.0,72.0,1613.0,18.0,71.0,3.0,2
55,4.0,97.0,1834.0,19.0,71.0,2.0,2
56,4.0,91.0,1955.0,20.5,71.0,1.0,2
57,4.0,113.0,2278.0,15.5,72.0,3.0,1
58,4.0,97.5,2126.0,17.0,72.0,1.0,2
59,4.0,97.0,2254.0,23.5,72.0,2.0,1
60,4.0,140.0,2408.0,19.5,72.0,1.0,1
61,4.0,122.0,2226.0,16.5,72.0,1.0,1
62,8.0,350.0,4274.0,12.0,72.0,1.0,1
63,8.0,400.0,4385.0,12.0,72.0,1.0,1
64,8.0,318.0,4135.0,13.5,72.0,1.0,1
65,8.0,351.0,4129.0,13.0,72.0,1.0,1
66,8.0,304.0,3672.0,11.5,72.0,1.0,1
67,8.0,429.0,4633.0,11.0,72.0,1.0,1
68,8.0,350.0,4502.0,13.5,72.0,1.0,1
69,8.0,350.0,4456.0,13.5,72.0,1.0,1
70,8.0,400.0,4422.0,12.5,72.0,1.0,1
71,3.0,70.0,2330.0,13.5,72.0,3.0,1
72,8.0,304.0,3892.0,12.5,72.0,1.0,1
73,8.0,307.0,4098.0,14.0,72.0,1.0,1
74,8.0,302.0,4294.0,16.0,72.0,1.0,1
75,8.0,318.0,4077.0,14.0,72.0,1.0,1
76,4.0,121.0,2933.0,14.5,72.0,2.0,1
77,4.0,121.0,2511.0,18.0,72.0,2.0,1
78,4.0,120.0,2979.0,19.5,72.0,2.0,1
79,4.0,96.0,2189.0,18.0,72.0,2.0,2
80,4.0,122.0,2395.0,16.0,72.0,1.0,1
81,4.0,97.0,2288.0,17.0,72.0,3.0,2
82,4.0,120.0,2506.0,14.5,72.0,3.0,1
83,4.0,98.0,2164.0,15.0,72.0,1.0,2
84,4.0,97.0,2100.0,16.5,72.0,3.0,2
85,8.0,350.0,4100.0,13.0,73.0,1.0,1
86,8.0,304.0,3672.0,11.5,73.0,1.0,1
87,8.0,350.0,3988.0,13.0,73.0,1.0,1
88,8.0,302.0,4042.0,14.5,73.0,1.0,1
89,8.0,318.0,3777.0,12.5,73.0,1.0,1
90,8.0,429.0,4952.0,11.5,73.0,1.0,1
91,8.0,400.0,4464.0,12.0,73.0,1.0,1
92,8.0,351.0,4363.0,13.0,73.0,1.0,1
93,8.0,318.0,4237.0,14.5,73.0,1.0,1
94,8.0,440.0,4735.0,11.0,73.0,1.0,1
95,8.0,455.0,4951.0,11.0,73.0,1.0,1
96,8.0,360.0,3821.0,11.0,73.0,1.0,1
97,6.0,225.0,3121.0,16.5,73.0,1.0,1
98,6.0,250.0,3278.0,18.0,73.0,1.0,1
99,6.0,232.0,2945.0,16.0,73.0,1.0,1
100,6.0,250.0,3021.0,16.5,73.0,1.0,1
101,6.0,198.0,2904.0,16.0,73.0,1.0,1
102,4.0,97.0,1950.0,21.0,73.0,2.0,2
103,8.0,400.0,4997.0,14.0,73.0,1.0,1
104,8.0,400.0,4906.0,12.5,73.0,1.0,1
105,8.0,360.0,4654.0,13.0,73.0,1.0,1
106,8.0,350.0,4499.0,12.5,73.0,1.0,1
107,6.0,232.0,2789.0,15.0,73.0,1.0,1
108,4.0,97.0,2279.0,19.0,73.0,3.0,1
109,4.0,140.0,2401.0,19.5,73.0,1.0,1
110,4.0,108.0,2379.0,16.5,73.0,3.0,1
111,3.0,70.0,2124.0,13.5,73.0,3.0,1
112,4.0,122.0,2310.0,18.5,73.0,1.0,1
113,6.0,155.0,2472.0,14.0,73.0,1.0,1
114,4.0,98.0,2265.0,15.5,73.0,2.0,2
115,8.0,350.0,4082.0,13.0,73.0,1.0,1
116,8.0,400.0,4278.0,9.5,73.0,1.0,1
117,4.0,68.0,1867.0,19.5,73.0,2.0,2
118,4.0,116.0,2158.0,15.5,73.0,2.0,1
119,4.0,114.0,2582.0,14.0,73.0,2.0,1
120,4.0,121.0,2868.0,15.5,73.0,2.0,1
121,8.0,318.0,3399.0,11.0,73.0,1.0,1
122,4.0,121.0,2660.0,14.0,73.0,2.0,1
123,6.0,156.0,2807.0,13.5,73.0,3.0,1
124,8.0,350.0,3664.0,11.0,73.0,1.0,1
125,6.0,198.0,3102.0,16.5,74.0,1.0,1
126,6.0,200.0,2875.0,17.0,74.0,1.0,1
127,6.0,232.0,2901.0,16.0,74.0,1.0,1
128,6.0,250.0,3336.0,17.0,74.0,1.0,1
129,4.0,79.0,1950.0,19.0,74.0,3.0,2
130,4.0,122.0,2451.0,16.5,74.0,1.0,2
131,4.0,71.0,1836.0,21.0,74.0,3.0,2
132,4.0,140.0,2542.0,17.0,74.0,1.0,2
133,6.0,250.0,3781.0,17.0,74.0,1.0,1
134,6.0,258.0,3632.0,18.0,74.0,1.0,1
135,6.0,225.0,3613.0,16.5,74.0,1.0,1
136,8.0,302.0,4141.0,14.0,74.0,1.0,1
137,8.0,350.0,4699.0,14.5,74.0,1.0,1
138,8.0,318.0,4457.0,13.5,74.0,1.0,1
139,8.0,302.0,4638.0,16.0,74.0,1.0,1
140,8.0,304.0,4257.0,15.5,74.0,1.0,1
141,4.0,98.0,2219.0,16.5,74.0,2.0,2
142,4.0,79.0,1963.0,15.5,74.0,2.0,2
143,4.0,97.0,2300.0,14.5,74.0,2.0,2
144,4.0,76.0,1649.0,16.5,74.0,3.0,2
145,4.0,83.0,2003.0,19.0,74.0,3.0,2
146,4.0,90.0,2125.0,14.5,74.0,1.0,2
147,4.0,90.0,2108.0,15.5,74.0,2.0,1
148,4.0,116.0,2246.0,14.0,74.0,2.0,2
149,4.0,120.0,2489.0,15.0,74.0,3.0,1
150,4.0,108.0,2391.0,15.5,74.0,3.0,2
151,4.0,79.0,2000.0,16.0,74.0,2.0,2
152,6.0,225.0,3264.0,16.0,75.0,1.0,1
153,6.0,250.0,3459.0,16.0,75.0,1.0,1
154,6.0,250.0,3432.0,21.0,75.0,1.0,1
155,6.0,250.0,3158.0,19.5,75.0,1.0,1
156,8.0,400.0,4668.0,11.5,75.0,1.0,1
157,8.0,350.0,4440.0,14.0,75.0,1.0,1
158,8.0,318.0,4498.0,14.5,75.0,1.0,1
159,8.0,351.0,4657.0,13.5,75.0,1.0,1
160,6.0,231.0,3907.0,21.0,75.0,1.0,1
161,6.0,250.0,3897.0,18.5,75.0,1.0,1
162,6.0,258.0,3730.0,19.0,75.0,1.0,1
163,6.0,225.0,3785.0,19.0,75.0,1.0,1
164,6.0,231.0,3039.0,15.0,75.0,1.0,1
165,8.0,262.0,3221.0,13.5,75.0,1.0,1
166,8.0,302.0,3169.0,12.0,75.0,1.0,1
167,4.0,97.0,2171.0,16.0,75.0,3.0,2
168,4.0,140.0,2639.0,17.0,75.0,1.0,1
169,6.0,232.0,2914.0,16.0,75.0,1.0,1
170,4.0,140.0,2592.0,18.5,75.0,1.0,1
171,4.0,134.0,2702.0,13.5,75.0,3.0,1
172,4.0,90.0,2223.0,16.5,75.0,2.0,2
173,4.0,119.0,2545.0,17.0,75.0,3.0,1
174,6.0,171.0,2984.0,14.5,75.0,1.0,1
175,4.0,90.0,1937.0,14.0,75.0,2.0,2
176,6.0,232.0,3211.0,17.0,75.0,1.0,1
177,4.0,115.0,2694.0,15.0,75.0,2.0,1
178,4.0,120.0,2957.0,17.0,75.0,2.0,1
179,4.0,121.0,2945.0,14.5,75.0,2.0,1
180,4.0,121.0,2671.0,13.5,75.0,2.0,2
181,4.0,91.0,1795.0,17.5,75.0,3.0,2
182,4.0,107.0,2464.0,15.5,76.0,2.0,2
183,4.0,116.0,2220.0,16.9,76.0,2.0,2
184,4.0,140.0,2572.0,14.9,76.0,1.0,2
185,4.0,98.0,2255.0,17.7,76.0,1.0,2
186,4.0,101.0,2202.0,15.3,76.0,2.0,2
187,8.0,305.0,4215.0,13.0,76.0,1.0,1
188,8.0,318.0,4190.0,13.0,76.0,1.0,1
189,8.0,304.0,3962.0,13.9,76.0,1.0,1
190,8.0,351.0,4215.0,12.8,76.0,1.0,1
191,6.0,225.0,3233.0,15.4,76.0,1.0,1
192,6.0,250.0,3353.0,14.5,76.0,1.0,1
193,6.0,200.0,3012.0,17.6,76.0,1.0,1
194,6.0,232.0,3085.0,17.6,76.0,1.0,1
195,4.0,85.0,2035.0,22.2,76.0,1.0,2
196,4.0,98.0,2164.0,22.1,76.0,1.0,1
197,4.0,90.0,1937.0,14.2,76.0,2.0,2
198,4.0,91.0,1795.0,17.4,76.0,3.0,2
199,6.0,225.0,3651.0,17.7,76.0,1.0,1
200,6.0,250.0,3574.0,21.0,76.0,1.0,1
201,6.0,250.0,3645.0,16.2,76.0,1.0,1
202,6.0,258.0,3193.0,17.8,76.0,1.0,1
203,4.0,97.0,1825.0,12.2,76.0,2.0,2
204,4.0,85.0,1990.0,17.0,76.0,3.0,2
205,4.0,97.0,2155.0,16.4,76.0,3.0,2
206,4.0,140.0,2565.0,13.6,76.0,1.0,2
207,4.0,130.0,3150.0,15.7,76.0,2.0,1
208,8.0,318.0,3940.0,13.2,76.0,1.0,1
209,4.0,120.0,3270.0,21.9,76.0,2.0,1
210,6.0,156.0,2930.0,15.5,76.0,3.0,1
211,6.0,168.0,3820.0,16.7,76.0,2.0,1
212,8.0,350.0,4380.0,12.1,76.0,1.0,1
213,8.0,350.0,4055.0,12.0,76.0,1.0,1
214,8.0,302.0,3870.0,15.0,76.0,1.0,1
215,8.0,318.0,3755.0,14.0,76.0,1.0,1
216,4.0,98.0,2045.0,18.5,77.0,3.0,2
217,4.0,111.0,2155.0,14.8,77.0,1.0,2
218,4.0,79.0,1825.0,18.6,77.0,2.0,2
219,4.0,122.0,2300.0,15.5,77.0,1.0,2
220,4.0,85.0,1945.0,16.8,77.0,3.0,2
221,8.0,305.0,3880.0,12.5,77.0,1.0,1
222,8.0,260.0,4060.0,19.0,77.0,1.0,1
223,8.0,318.0,4140.0,13.7,77.0,1.0,1
224,8.0,302.0,4295.0,14.9,77.0,1.0,1
225,6.0,250.0,3520.0,16.4,77.0,1.0,1
226,6.0,231.0,3425.0,16.9,77.0,1.0,1
227,6.0,225.0,3630.0,17.7,77.0,1.0,1
228,6.0,250.0,3525.0,19.0,77.0,1.0,1
229,8.0,400.0,4220.0,11.1,77.0,1.0,1
230,8.0,350.0,4165.0,11.4,77.0,1.0,1
231,8.0,400.0,4325.0,12.2,77.0,1.0,1
232,8.0,351.0,4335.0,14.5,77.0,1.0,1
233,4.0,97.0,1940.0,14.5,77.0,2.0,2
234,4.0,151.0,2740.0,16.0,77.0,1.0,1
235,4.0,97.0,2265.0,18.2,77.0,3.0,2
236,4.0,140.0,2755.0,15.8,77.0,1.0,2
237,4.0,98.0,2051.0,17.0,77.0,1.0,2
238,4.0,98.0,2075.0,15.9,77.0,1.0,2
239,4.0,97.0,1985.0,16.4,77.0,3.0,2
240,4.0,97.0,2190.0,14.1,77.0,2.0,2
241,6.0,146.0,2815.0,14.5,77.0,3.0,1
242,4.0,121.0,2600.0,12.8,77.0,2.0,1
243,3.0,80.0,2720.0,13.5,77.0,3.0,1
244,4.0,90.0,1985.0,21.5,78.0,2.0,2
245,4.0,98.0,1800.0,14.4,78.0,1.0,2
246,4.0,78.0,1985.0,19.4,78.0,3.0,2
247,4.0,85.0,2070.0,18.6,78.0,3.0,2
248,4.0,91.0,1800.0,16.4,78.0,3.0,2
249,8.0,260.0,3365.0,15.5,78.0,1.0,1
250,8.0,318.0,3735.0,13.2,78.0,1.0,1
251,8.0,302.0,3570.0,12.8,78.0,1.0,1
252,6.0,231.0,3535.0,19.2,78.0,1.0,1
253,6.0,200.0,3155.0,18.2,78.0,1.0,1
254,6.0,200.0,2965.0,15.8,78.0,1.0,1
255,4.0,140.0,2720.0,15.4,78.0,1.0,2
256,6.0,225.0,3430.0,17.2,78.0,1.0,1
257,6.0,232.0,3210.0,17.2,78.0,1.0,1
258,6.0,231.0,3380.0,15.8,78.0,1.0,1
259,6.0,200.0,3070.0,16.7,78.0,1.0,1
260,6.0,225.0,3620.0,18.7,78.0,1.0,1
261,6.0,258.0,3410.0,15.1,78.0,1.0,1
262,8.0,305.0,3425.0,13.2,78.0,1.0,1
263,6.0,231.0,3445.0,13.4,78.0,1.0,1
264,8.0,302.0,3205.0,11.2,78.0,1.0,1
265,8.0,318.0,4080.0,13.7,78.0,1.0,1
266,4.0,98.0,2155.0,16.5,78.0,1.0,2
267,4.0,134.0,2560.0,14.2,78.0,3.0,2
268,4.0,119.0,2300.0,14.7,78.0,3.0,2
269,4.0,105.0,2230.0,14.5,78.0,1.0,2
270,4.0,134.0,2515.0,14.8,78.0,3.0,1
271,4.0,156.0,2745.0,16.7,78.0,1.0,1
272,4.0,151.0,2855.0,17.6,78.0,1.0,1
273,4.0,119.0,2405.0,14.9,78.0,3.0,1
274,5.0,131.0,2830.0,15.9,78.0,2.0,1
275,6.0,163.0,3140.0,13.6,78.0,2.0,1
276,4.0,121.0,2795.0,15.7,78.0,2.0,1
277,6.0,163.0,3410.0,15.8,78.0,2.0,1
278,4.0,89.0,1990.0,14.9,78.0,2.0,2
279,4.0,98.0,2135.0,16.6,78.0,3.0,2
280,6.0,231.0,3245.0,15.4,79.0,1.0,1
281,6.0,200.0,2990.0,18.2,79.0,1.0,1
282,4.0,140.0,2890.0,17.3,79.0,1.0,1
283,6.0,232.0,3265.0,18.2,79.0,1.0,1
284,6.0,225.0,3360.0,16.6,79.0,1.0,1
285,8.0,305.0,3840.0,15.4,79.0,1.0,1
286,8.0,302.0,3725.0,13.4,79.0,1.0,1
287,8.0,351.0,3955.0,13.2,79.0,1.0,1
288,8.0,318.0,3830.0,15.2,79.0,1.0,1
289,8.0,350.0,4360.0,14.9,79.0,1.0,1
290,8.0,351.0,4054.0,14.3,79.0,1.0,1
291,8.0,267.0,3605.0,15.0,79.0,1.0,1
292,8.0,360.0,3940.0,13.0,79.0,1.0,1
293,4.0,89.0,1925.0,14.0,79.0,2.0,2
294,4.0,86.0,1975.0,15.2,79.0,3.0,2
295,4.0,98.0,1915.0,14.4,79.0,1.0,2
296,4.0,121.0,2670.0,15.0,79.0,1.0,2
297,5.0,183.0,3530.0,20.1,79.0,2.0,2
298,8.0,350.0,3900.0,17.4,79.0,1.0,1
299,4.0,141.0,3190.0,24.8,79.0,2.0,2
300,8.0,260.0,3420.0,22.2,79.0,1.0,1
301,4.0,105.0,2200.0,13.2,79.0,1.0,2
302,4.0,105.0,2150.0,14.9,79.0,1.0,2
303,4.0,85.0,2020.0,19.2,79.0,3.0,2
304,4.0,91.0,2130.0,14.7,79.0,2.0,2
305,4.0,151.0,2670.0,16.0,79.0,1.0,2
306,6.0,173.0,2595.0,11.3,79.0,1.0,2
307,6.0,173.0,2700.0,12.9,79.0,1.0,2
308,4.0,151.0,2556.0,13.2,79.0,1.0,2
309,4.0,98.0,2144.0,14.7,80.0,2.0,2
310,4.0,89.0,1968.0,18.8,80.0,3.0,2
311,4.0,98.0,2120.0,15.5,80.0,1.0,2
312,4.0,86.0,2019.0,16.4,80.0,3.0,2
313,4.0,151.0,2678.0,16.5,80.0,1.0,2
314,4.0,140.0,2870.0,18.1,80.0,1.0,2
315,4.0,151.0,3003.0,20.1,80.0,1.0,1
316,6.0,225.0,3381.0,18.7,80.0,1.0,1
317,4.0,97.0,2188.0,15.8,80.0,2.0,2
318,4.0,134.0,2711.0,15.5,80.0,3.0,2
319,4.0,120.0,2542.0,17.5,80.0,3.0,2
320,4.0,119.0,2434.0,15.0,80.0,3.0,2
321,4.0,108.0,2265.0,15.2,80.0,3.0,2
322,4.0,86.0,2110.0,17.9,80.0,3.0,2
323,4.0,156.0,2800.0,14.4,80.0,1.0,2
324,4.0,85.0,2110.0,19.2,80.0,3.0,2
325,4.0,90.0,2085.0,21.7,80.0,2.0,2
326,4.0,90.0,2335.0,23.7,80.0,2.0,2
327,5.0,121.0,2950.0,19.9,80.0,2.0,2
328,4.0,146.0,3250.0,21.8,80.0,2.0,2
329,4.0,91.0,1850.0,13.8,80.0,3.0,2
330,4.0,85.0,1835.0,17.3,80.0,2.0,2
331,4.0,97.0,2145.0,18.0,80.0,3.0,2
332,4.0,89.0,1845.0,15.3,80.0,2.0,2
333,6.0,168.0,2910.0,11.4,80.0,3.0,2
334,3.0,70.0,2420.0,12.5,80.0,3.0,1
335,4.0,122.0,2500.0,15.1,80.0,2.0,2
336,4.0,140.0,2905.0,14.3,80.0,1.0,1
337,4.0,107.0,2290.0,17.0,80.0,3.0,2
338,4.0,135.0,2490.0,15.7,81.0,1.0,2
339,4.0,151.0,2635.0,16.4,81.0,1.0,2
340,4.0,156.0,2620.0,14.4,81.0,1.0,2
341,6.0,173.0,2725.0,12.6,81.0,1.0,1
342,4.0,135.0,2385.0,12.9,81.0,1.0,2
343,4.0,79.0,1755.0,16.9,81.0,3.0,2
344,4.0,86.0,1875.0,16.4,81.0,1.0,2
345,4.0,81.0,1760.0,16.1,81.0,3.0,2
346,4.0,97.0,2065.0,17.8,81.0,3.0,2
347,4.0,85.0,1975.0,19.4,81.0,3.0,2
348,4.0,89.0,2050.0,17.3,81.0,3.0,2
349,4.0,91.0,1985.0,16.0,81.0,3.0,2
350,4.0,105.0,2215.0,14.9,81.0,1.0,2
351,4.0,98.0,2045.0,16.2,81.0,1.0,2
352,4.0,98.0,2380.0,20.7,81.0,1.0,2
353,4.0,105.0,2190.0,14.2,81.0,2.0,2
354,4.0,100.0,2320.0,15.8,81.0,2.0,2
355,4.0,107.0,2210.0,14.4,81.0,3.0,2
356,4.0,108.0,2350.0,16.8,81.0,3.0,2
357,4.0,119.0,2615.0,14.8,81.0,3.0,2
358,4.0,120.0,2635.0,18.3,81.0,3.0,2
359,4.0,141.0,3230.0,20.4,81.0,2.0,2
360,6.0,145.0,3160.0,19.6,81.0,2.0,2
361,6.0,168.0,2900.0,12.6,81.0,3.0,2
362,6.0,146.0,2930.0,13.8,81.0,3.0,1
363,6.0,231.0,3415.0,15.8,81.0,1.0,1
364,8.0,350.0,3725.0,19.0,81.0,1.0,2
365,6.0,200.0,3060.0,17.1,81.0,1.0,1
366,6.0,225.0,3465.0,16.6,81.0,1.0,1
367,4.0,112.0,2605.0,19.6,82.0,1.0,2
368,4.0,112.0,2640.0,18.6,82.0,1.0,2
369,4.0,112.0,2395.0,18.0,82.0,1.0,2
370,4.0,112.0,2575.0,16.2,82.0,1.0,2
371,4.0,135.0,2525.0,16.0,82.0,1.0,2
372,4.0,151.0,2735.0,18.0,82.0,1.0,2
373,4.0,140.0,2865.0,16.4,82.0,1.0,1
374,4.0,151.0,3035.0,20.5,82.0,1.0,1
375,4.0,105.0,1980.0,15.3,82.0,2.0,2
376,4.0,91.0,2025.0,18.2,82.0,3.0,2
377,4.0,91.0,1970.0,17.6,82.0,3.0,2
378,4.0,105.0,2125.0,14.7,82.0,1.0,2
379,4.0,98.0,2125.0,17.3,82.0,1.0,2
380,4.0,120.0,2160.0,14.5,82.0,3.0,2
381,4.0,107.0,2205.0,14.5,82.0,3.0,2
382,4.0,108.0,2245.0,16.9,82.0,3.0,2
383,4.0,91.0,1965.0,15.0,82.0,3.0,2
384,4.0,91.0,1965.0,15.7,82.0,3.0,2
385,4.0,91.0,1995.0,16.2,82.0,3.0,2
386,6.0,181.0,2945.0,16.4,82.0,1.0,2
387,6.0,262.0,3015.0,17.0,82.0,1.0,2
388,4.0,156.0,2585.0,14.5,82.0,1.0,2
389,6.0,232.0,2835.0,14.7,82.0,1.0,1
390,4.0,144.0,2665.0,13.9,82.0,3.0,2
391,4.0,135.0,2370.0,13.0,82.0,1.0,2
392,4.0,151.0,2950.0,17.3,82.0,1.0,2
393,4.0,140.0,2790.0,15.6,82.0,1.0,2
394,4.0,97.0,2130.0,24.6,82.0,2.0,2
395,4.0,135.0,2295.0,11.6,82.0,1.0,2
396,4.0,120.0,2625.0,18.6,82.0,1.0,2
397,4.0,119.0,2720.0,19.4,82.0,1.0,2
