,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,label
24,13.07,1.81,2.31,23.0,104.0,2.42,2.76,0.53,1.46,4.45,1.09,3.22,345.0,1.0
25,12.33,1.7,2.75,18.6,162.0,1.51,3.23,0.5,0.83,2.9,0.68,1.62,1310.0,1.0
26,12.67,3.99,2.3,16.0,112.0,1.25,3.29,0.3,1.66,2.06,1.18,2.52,620.0,1.0
27,12.77,1.39,1.98,16.0,117.0,3.1,1.76,0.25,1.61,10.26,1.0,3.28,1045.0,1.0
28,14.22,1.41,2.32,17.0,82.0,2.2,3.03,0.47,1.44,2.7,1.23,1.83,1045.0,1.0
29,13.86,1.13,2.19,16.8,118.0,2.8,2.03,0.4,1.34,6.8,0.85,3.13,1035.0,1.0
30,12.04,2.83,2.14,22.0,88.0,1.98,2.03,0.26,1.35,3.05,1.04,3.17,1260.0,1.0
31,12.34,1.07,2.44,21.0,112.0,1.54,2.92,0.32,0.95,2.65,1.19,2.26,345.0,1.0
32,14.39,2.45,2.48,16.0,94.0,2.36,2.68,0.28,1.98,7.1,1.15,2.75,678.0,1.0
33,13.75,1.52,2.25,16.6,112.0,3.88,0.69,0.43,1.66,5.04,1.42,2.82,625.0,1.0
34,12.08,0.89,2.39,18.6,88.0,2.98,2.79,0.41,1.56,3.3,0.98,1.56,840.0,1.0
35,12.51,2.58,2.2,16.0,104.0,1.48,1.69,0.22,2.38,6.2,1.07,1.96,520.0,1.0
36,11.84,1.35,2.2,24.5,124.0,2.74,2.53,0.27,1.35,3.6,1.1,1.68,1050.0,1.0
37,13.17,2.06,2.31,20.5,103.0,2.2,0.51,0.6,1.66,7.5,0.91,3.14,434.0,1.0
38,12.69,3.74,2.36,20.4,101.0,2.98,2.03,0.29,0.73,3.05,1.05,2.06,415.0,1.0
39,13.69,1.33,2.48,19.6,80.0,2.7,0.5,0.34,2.1,3.8,0.66,1.58,415.0,1.0
40,13.72,1.48,2.5,17.2,86.0,2.74,2.43,0.53,1.03,4.36,0.73,3.35,680.0,1.0
41,11.56,2.59,2.69,20.5,106.0,2.4,3.27,0.5,1.15,5.7,1.12,3.4,428.0,1.0
42,12.33,1.68,2.48,22.0,88.0,2.1,0.57,0.37,1.14,8.5,0.95,3.53,1295.0,1.0
43,13.49,1.65,2.21,22.0,91.0,3.1,0.83,0.43,1.46,6.2,1.31,3.3,355.0,1.0
44,12.25,4.95,2.3,24.5,108.0,2.45,1.59,0.61,1.46,3.05,1.04,2.31,580.0,1.0
45,13.34,1.43,2.0,18.0,102.0,1.45,2.5,0.32,0.73,3.8,1.0,2.06,450.0,1.0
46,12.29,1.97,2.21,16.8,110.0,1.68,2.24,0.37,0.86,6.0,1.04,2.15,463.0,1.0
47,14.75,1.73,2.32,16.0,86.0,2.7,1.57,0.14,0.8,5.0,1.25,1.62,750.0,1.0
48,12.7,1.71,2.74,20.0,94.0,3.3,3.0,0.52,2.08,2.5,0.74,2.96,502.0,1.0
49,13.24,1.51,2.7,22.5,97.0,2.86,3.54,0.2,2.04,5.88,1.09,3.2,1265.0,1.0
50,12.29,3.17,2.65,16.0,92.0,3.2,2.14,0.14,0.8,5.4,1.25,3.21,1310.0,1.0
51,13.68,1.63,2.64,22.0,123.0,1.4,1.75,0.52,2.19,10.2,1.04,2.77,434.0,1.0
52,13.05,1.24,2.53,22.0,97.0,2.6,2.43,0.52,1.54,4.0,1.09,2.26,315.0,1.0
53,14.38,3.03,2.36,18.0,105.0,1.15,3.17,0.4,1.62,6.1,0.65,1.82,600.0,1.0
54,12.51,1.71,2.35,18.0,89.0,3.3,3.03,0.29,1.25,2.65,0.7,1.62,407.0,1.0
55,12.7,5.65,2.31,22.0,91.0,1.1,2.03,0.3,2.08,3.85,1.15,2.87,1120.0,1.0
56,13.34,3.99,2.17,17.5,106.0,1.89,0.7,0.29,2.1,3.8,0.92,2.69,378.0,1.0
57,13.16,1.45,2.1,21.5,86.0,2.2,1.92,0.22,1.64,6.0,0.57,1.58,630.0,1.0
58,13.27,1.81,2.6,24.0,103.0,3.52,3.67,0.34,1.87,2.6,1.16,3.44,380.0,1.0
59,12.77,1.73,2.15,16.8,132.0,2.9,0.58,0.26,1.15,2.0,1.22,1.67,520.0,1.0
60,14.12,2.08,2.44,17.6,94.0,2.41,2.26,0.26,1.66,6.62,0.62,3.48,560.0,1.0
61,13.84,1.33,2.8,16.0,85.0,1.39,1.6,0.29,1.97,1.95,1.02,1.8,1045.0,1.0
62,13.36,3.12,2.27,24.5,119.0,2.6,2.53,0.4,1.97,2.65,0.75,3.05,760.0,1.0
63,13.05,2.06,1.9,21.0,88.0,2.23,0.61,0.4,1.76,3.05,0.82,1.55,1150.0,1.0
64,14.37,1.64,2.12,19.0,94.0,2.02,0.5,0.21,1.7,5.0,0.8,3.18,520.0,1.0
65,13.41,4.43,2.54,22.5,110.0,1.54,1.1,0.45,1.46,2.8,0.96,1.75,472.0,1.0
66,13.05,4.95,2.1,28.5,90.0,2.95,2.74,0.26,1.98,8.6,1.0,3.05,650.0,1.0
67,12.51,3.27,2.42,24.5,101.0,3.02,2.55,0.21,1.82,7.1,0.92,3.35,720.0,1.0
68,12.25,1.73,2.12,17.0,97.0,1.6,3.29,0.34,1.15,4.5,0.66,1.62,660.0,1.0
69,13.49,1.48,2.22,16.8,96.0,2.61,0.83,0.39,2.91,4.6,0.67,1.56,450.0,1.0
70,11.46,2.08,2.1,18.0,80.0,2.3,3.15,0.3,1.54,6.25,0.93,2.91,1235.0,1.0
71,13.63,1.92,2.48,18.5,88.0,2.5,2.76,0.21,2.03,5.6,0.68,1.86,1045.0,1.0
72,11.56,3.27,1.71,17.6,87.0,2.75,2.45,0.58,1.55,9.4,0.75,1.74,415.0,1.0
73,12.58,3.59,2.17,18.0,93.0,3.3,2.68,0.28,1.25,7.3,0.89,2.06,550.0,1.0
74,12.45,1.01,2.59,16.8,105.0,2.6,0.34,0.19,1.98,9.7,0.92,1.58,780.0,1.0
75,11.82,1.09,2.21,18.0,84.0,2.85,0.8,0.21,2.81,7.2,0.79,2.57,520.0,1.0
76,12.72,3.91,2.16,19.5,106.0,2.13,0.92,0.32,1.35,5.05,0.88,3.31,1515.0,1.0
77,13.27,1.65,2.6,11.2,90.0,2.5,0.99,0.63,1.44,4.6,1.31,3.4,312.0,1.0
78,14.2,3.1,2.51,16.0,86.0,3.0,0.78,0.45,1.96,10.8,0.59,1.82,695.0,1.0
79,13.83,3.87,2.35,22.0,88.0,1.51,1.09,0.43,2.03,4.45,1.04,1.82,450.0,1.0
80,12.37,2.81,2.23,20.0,122.0,2.45,3.03,0.39,0.81,3.93,1.09,2.06,855.0,1.0
81,13.03,0.94,1.7,20.0,80.0,1.38,1.59,0.34,1.36,2.08,1.04,2.15,1285.0,1.0
82,12.25,1.9,2.0,27.0,104.0,1.5,0.57,0.53,2.19,3.17,1.33,4.0,1260.0,1.0
83,12.47,1.1,2.19,16.0,88.0,2.86,1.36,0.3,1.26,2.6,1.15,2.82,1035.0,1.0
84,13.27,1.88,2.0,16.8,121.0,2.4,3.25,0.43,2.5,6.62,0.7,2.65,750.0,1.0
85,13.41,1.73,2.7,17.2,86.0,1.63,2.11,0.44,1.26,3.05,1.19,2.78,1290.0,1.0
86,11.96,2.15,2.68,21.0,113.0,3.0,3.69,0.5,1.87,4.38,0.98,3.71,680.0,1.0
87,13.58,1.68,2.75,16.6,96.0,2.75,1.09,0.39,1.86,10.2,0.8,2.75,675.0,1.0
88,13.87,1.01,2.32,18.0,134.0,1.38,2.98,0.39,1.05,4.36,0.57,2.77,1195.0,1.0
89,13.67,2.55,2.36,21.0,103.0,1.65,3.15,0.47,0.81,10.68,0.96,1.96,740.0,1.0
90,11.64,1.47,2.51,21.0,96.0,3.85,1.28,0.61,1.62,3.3,0.65,3.57,672.0,1.0
91,12.72,1.87,1.71,18.8,78.0,2.85,2.01,0.25,1.04,10.26,1.23,2.93,1150.0,1.0
92,13.86,3.55,2.78,16.6,105.0,1.93,2.74,0.6,1.76,5.88,0.75,2.48,1270.0,1.0
93,12.34,1.83,2.53,21.5,81.0,1.5,0.66,0.28,2.34,2.15,1.05,2.44,590.0,1.0
94,14.21,1.72,2.38,10.6,104.0,1.63,0.99,0.58,1.1,3.8,0.88,1.71,830.0,1.0
95,12.7,3.24,2.41,20.0,100.0,2.61,1.36,0.24,2.19,3.27,1.09,1.58,312.0,1.0
96,13.78,1.87,1.92,11.4,102.0,1.6,1.41,0.52,2.7,2.57,0.94,1.83,495.0,1.0
97,14.06,3.24,1.36,16.8,89.0,2.55,0.49,0.3,2.76,7.65,0.69,2.11,407.0,1.0
98,12.37,1.86,2.74,25.5,86.0,2.0,1.39,0.43,1.72,5.25,0.7,2.46,1190.0,1.0
99,14.38,3.59,2.1,20.0,101.0,3.52,2.52,0.17,1.62,3.9,1.09,3.14,1185.0,1.0
100,13.94,1.78,2.61,20.5,96.0,1.48,0.48,0.29,1.86,6.75,0.93,2.15,590.0,1.0
101,13.52,2.55,2.21,16.0,96.0,1.93,2.5,0.32,1.35,2.76,0.61,2.78,1285.0,1.0
102,12.25,3.88,2.37,21.0,88.0,2.8,2.92,0.4,1.63,9.7,0.95,3.5,1185.0,1.0
103,14.3,1.73,2.87,22.0,91.0,2.86,2.19,0.29,2.29,10.52,0.73,1.82,845.0,1.0
104,13.9,1.57,1.7,22.0,98.0,2.55,1.59,0.39,1.36,5.43,0.98,2.44,680.0,1.0
105,11.87,1.99,2.5,21.0,104.0,3.0,2.78,0.29,1.63,4.4,1.19,1.68,675.0,1.0
106,13.83,1.71,2.54,21.0,98.0,2.45,2.65,0.63,1.42,5.28,0.78,3.21,1020.0,1.0
107,13.2,1.73,2.58,12.4,88.0,1.63,2.17,0.26,1.77,6.0,0.87,1.86,720.0,1.0
108,12.58,1.63,2.51,16.8,84.0,2.6,3.23,0.29,1.66,3.21,1.09,3.33,840.0,1.0
109,14.2,1.83,3.22,18.5,97.0,1.93,1.22,0.3,1.63,8.6,1.03,2.15,438.0,1.0
110,13.2,2.58,2.23,16.5,102.0,2.02,1.69,0.58,0.83,2.8,0.78,1.67,880.0,1.0
111,13.4,3.74,2.29,17.8,78.0,1.68,0.58,0.29,1.54,6.13,1.12,2.85,660.0,1.0
112,12.07,1.81,2.2,16.0,98.0,2.02,3.17,0.43,2.29,2.12,0.86,2.96,385.0,1.0
113,14.75,3.59,2.35,21.6,88.0,2.05,2.65,0.53,1.81,2.6,1.25,4.0,1045.0,1.0
114,11.81,1.61,2.4,16.0,94.0,1.68,0.57,0.34,1.25,4.8,0.87,3.0,1450.0,1.0
115,14.13,1.67,2.45,15.5,112.0,1.75,2.53,0.5,1.86,5.85,0.57,3.55,750.0,1.0
116,14.37,1.53,2.1,16.8,98.0,2.48,2.65,0.34,0.97,8.6,1.28,3.12,480.0,1.0
117,14.1,4.43,2.6,19.5,111.0,1.39,0.66,0.29,1.25,3.9,0.78,2.77,845.0,1.0
118,12.93,1.61,2.36,19.0,96.0,2.9,2.68,0.43,2.38,7.8,0.88,3.3,380.0,1.0
119,13.23,4.12,2.3,20.5,102.0,1.95,0.58,0.61,1.87,9.2,1.01,3.17,355.0,1.0
120,14.2,1.99,2.16,17.6,80.0,3.1,2.68,0.45,2.04,2.9,0.77,3.26,520.0,1.0
121,12.17,3.03,2.28,16.8,104.0,1.38,3.14,0.43,1.03,10.2,0.81,1.55,495.0,1.0
122,12.64,1.95,1.7,19.0,99.0,3.18,2.55,0.3,2.96,2.12,1.31,3.39,625.0,1.0
123,11.87,1.61,2.16,13.2,90.0,2.2,1.2,0.29,0.73,6.6,1.23,1.64,1285.0,1.0
124,12.51,3.84,2.3,24.0,94.0,1.28,0.6,0.43,1.24,8.7,0.97,3.44,600.0,1.0
125,14.22,2.08,1.98,21.6,101.0,2.86,2.65,0.43,1.61,5.1,1.0,2.15,428.0,1.0
126,11.66,4.28,2.27,17.4,120.0,3.18,2.79,0.32,1.37,1.9,0.96,2.63,450.0,1.0
127,13.39,1.52,2.41,21.5,102.0,1.48,0.63,0.53,2.18,2.85,0.7,2.96,352.0,1.0
128,12.84,1.35,2.68,14.0,97.0,2.8,2.17,0.63,1.86,9.9,0.98,1.78,342.0,1.0
129,12.77,2.31,2.2,17.5,118.0,1.93,0.6,0.29,2.81,5.1,1.02,1.56,1105.0,1.0
130,13.73,3.74,2.5,16.8,94.0,0.98,2.63,0.5,1.46,2.6,0.96,2.88,685.0,1.0
131,12.42,1.67,2.68,16.3,96.0,2.5,2.01,0.13,0.68,5.7,1.18,1.47,1080.0,1.0
132,13.88,1.97,2.48,20.0,88.0,1.72,2.98,0.4,1.03,4.36,1.19,3.26,570.0,1.0
133,14.39,1.17,2.54,22.5,111.0,2.42,2.01,0.3,1.87,8.7,0.74,1.36,500.0,1.0
134,12.25,1.68,2.65,21.5,101.0,3.3,2.9,0.34,0.94,3.05,1.28,2.73,1235.0,1.0
135,13.11,1.45,2.28,17.0,97.0,2.64,3.39,0.28,1.53,5.88,1.07,1.82,625.0,1.0
136,14.06,1.64,3.22,30.0,87.0,1.38,2.69,0.34,1.87,5.04,0.92,1.47,710.0,1.0
137,14.06,2.46,2.1,16.8,120.0,2.7,1.64,0.43,0.96,2.0,0.6,3.17,885.0,1.0
138,12.53,1.01,2.35,16.0,89.0,2.0,2.74,0.53,1.35,4.1,0.58,1.55,680.0,1.0
139,13.05,1.83,2.15,25.0,102.0,1.8,3.25,0.29,0.94,2.0,0.92,3.0,680.0,1.0
140,12.37,1.81,2.15,16.0,111.0,3.02,2.27,0.29,1.24,6.62,0.88,4.0,630.0,1.0
141,14.21,1.65,2.31,10.6,112.0,1.65,3.39,0.21,1.37,2.9,0.99,2.77,835.0,1.0
142,12.51,1.81,2.7,19.1,96.0,2.85,0.92,0.37,1.63,6.38,0.93,2.26,560.0,1.0
143,13.84,3.55,2.3,21.0,90.0,1.35,2.88,0.4,1.86,2.5,1.04,2.96,1285.0,1.0
144,13.87,1.66,2.36,20.0,103.0,1.8,2.92,0.26,1.86,5.4,1.03,2.9,1020.0,1.0
145,12.25,2.96,2.36,16.4,98.0,2.2,3.25,0.4,1.46,4.36,0.98,3.12,1265.0,1.0
146,13.88,3.7,2.25,22.0,111.0,1.25,3.39,0.3,2.81,6.8,0.93,3.08,342.0,1.0
147,13.83,4.6,2.53,28.5,116.0,1.7,2.45,0.17,1.05,2.45,0.91,2.88,1120.0,1.0
148,13.88,3.99,2.02,20.0,103.0,2.64,3.18,0.43,1.35,5.6,0.95,3.17,1280.0,1.0
149,12.52,1.35,1.92,18.0,86.0,2.2,3.0,0.63,1.35,2.15,1.12,2.69,640.0,1.0
150,14.38,1.25,2.51,21.0,106.0,1.9,2.03,0.47,1.63,3.35,0.88,2.65,580.0,1.0
151,13.51,2.83,2.67,20.8,121.0,1.35,0.48,0.4,0.86,9.58,1.19,2.51,1035.0,1.0
152,12.87,3.7,2.3,22.5,101.0,2.2,2.55,0.61,1.86,5.65,0.48,3.26,510.0,1.0
153,11.84,1.57,2.12,19.0,93.0,3.52,3.17,0.29,2.91,2.12,0.9059999999999999,2.63,466.0,1.0
154,12.79,2.55,2.29,22.0,118.0,2.6,2.65,0.42,2.7,5.0,0.93,3.4,750.0,1.0
155,13.11,1.19,2.61,21.5,92.0,2.6,2.68,0.58,0.64,3.25,0.74,2.57,425.0,1.0
156,12.33,1.89,2.28,20.0,84.0,2.8,2.25,0.43,1.54,5.75,0.62,2.82,428.0,1.0
157,14.16,2.02,2.1,19.0,162.0,1.65,2.11,0.47,1.81,5.7,0.89,2.75,835.0,1.0
158,12.07,2.4,2.42,11.4,116.0,2.2,2.65,0.28,1.82,2.94,1.07,2.83,830.0,1.0
159,13.56,1.72,2.28,21.0,118.0,2.42,1.36,0.26,0.62,7.5,0.95,1.56,650.0,1.0
160,11.45,1.65,2.14,20.8,95.0,1.38,1.85,0.43,1.25,4.38,0.68,2.71,780.0,1.0
161,13.08,1.67,1.92,25.5,98.0,3.0,1.57,0.63,1.31,6.38,1.45,3.3,845.0,1.0
162,14.1,1.71,2.36,16.8,103.0,3.38,1.92,0.43,2.34,2.0,1.05,3.52,470.0,1.0
163,12.08,1.92,2.38,19.0,94.0,1.61,1.25,0.53,1.14,10.68,1.05,3.0,1060.0,1.0
164,12.51,1.09,2.17,14.0,116.0,2.0,2.41,0.27,0.42,9.7,1.71,3.57,415.0,1.0
165,14.06,1.53,2.7,18.5,84.0,2.6,0.69,0.58,0.86,3.94,1.12,3.03,1060.0,1.0
166,11.65,1.35,2.36,15.0,98.0,2.55,3.56,0.24,1.35,3.05,1.17,2.84,760.0,1.0
167,13.39,2.43,2.61,30.0,88.0,2.2,3.27,0.28,1.15,5.68,0.96,2.83,845.0,1.0
168,11.64,2.67,2.38,20.5,102.0,1.74,2.29,0.42,1.3,5.5,0.91,3.38,695.0,1.0
169,12.36,3.99,2.21,22.5,103.0,1.62,2.76,0.43,1.56,6.13,1.07,3.36,355.0,1.0
170,13.48,2.59,2.24,16.0,101.0,2.05,2.78,0.21,1.03,7.1,0.93,2.9,560.0,1.0
171,11.96,1.35,2.42,14.0,112.0,2.2,2.69,0.25,0.94,7.5,0.8,2.75,560.0,1.0
172,13.17,4.04,2.62,16.0,126.0,2.0,3.0,0.35,0.64,4.8,1.25,1.42,607.0,1.0
173,12.64,0.99,2.74,24.0,95.0,2.53,3.32,0.29,1.03,7.22,0.86,1.36,345.0,1.0
174,14.13,2.02,1.71,12.0,96.0,2.6,0.47,0.34,0.68,7.6,0.67,1.73,1035.0,1.0
175,13.05,4.3,2.12,26.5,121.0,1.38,0.99,0.63,2.14,3.8,1.04,3.0,406.0,1.0
176,13.62,1.61,2.67,20.5,92.0,1.6,2.65,0.34,1.31,4.36,1.23,2.91,365.0,1.0
